timestamp,amb_temp_c,relative_humidity,ghi,dni,dhi,IR(h),wind_speed_m_s,WD10m,SP
20220101:0000,26.79,85.09,0,0,0,397.17,3.4,202,101050
20220101:0100,26.68,85.7,0,0,0,399.15,3.13,203,101010
20220101:0200,26.58,86.32,0,0,0,401.12,2.87,207,100980
20220101:0300,26.47,86.94,0,0,0,403.1,2.6,217,100990
20220101:0400,26.37,87.55,0,0,0,405.07,2.33,236,101010
20220101:0500,26.27,88.17,0,0,0,407.04,2.07,255,101060
20220101:0600,26.16,88.78,0,0,0,409.02,1.8,254,101100
20220101:0700,26.06,89.4,225.2,555.45,96.5,410.99,1.54,245,101170
20220101:0800,27.89,76.85,454.8,732.42,126.65,415.9,1.66,241,101250
20220101:0900,28.68,74.5,627.95,752.65,153.15,409.3,1.79,237,101270
20220101:1000,29.24,69.85,686.55,689.76,157.05,416.65,1.86,229,101230
20220101:1100,29.56,69.85,763.25,649.68,211.55,426.55,2.07,215,101180
20220101:1200,29.95,69.95,804.45,741.4,159.55,422.45,2.55,207,101080
20220101:1300,30.15,67.8,682.9,635.21,156.8,422.85,3.17,202,101000
20220101:1400,29.95,69.95,516.15,526.76,133.1,430,3.52,202,100900
20220101:1500,29.26,74.55,324.8,367.6,113.95,426.35,3.72,205,100830
20220101:1600,28.75,76.95,163.2,264.74,63.15,426.15,3.31,215,100830
20220101:1700,28.48,79.4,19.45,46.91,12.25,417.65,3.24,207,100850
20220101:1800,27.98,79.4,0,0,0,416.85,3.1,201,100890
20220101:1900,27.85,76.85,0,0,0,412.8,3.59,182,100960
20220101:2000,27.69,76.85,0,0,0,413.55,3.79,183,101040
20220101:2100,27.54,81.95,0,0,0,417.05,3.93,188,101060
20220101:2200,27.38,81.95,0,0,0,414.9,4.07,193,101040
20220101:2300,27.18,81.95,0,0,0,406.8,4,198,101000
20220102:0000,27.05,81.95,0,0,0,406.8,3.59,204,100980
20220102:0100,26.88,87.4,0,0,0,408.05,2.83,215,100940
20220102:0200,26.58,87.4,0,0,0,405.45,2.14,238,100930
20220102:0300,26.3,87.35,0,0,0,411.65,1.86,257,100920
20220102:0400,26.06,87.35,0,0,0,415.9,1.59,268,100940
20220102:0500,25.76,90.2,0,0,0,420.9,1.31,274,100990
20220102:0600,25.69,90.2,0,0,0,411.25,0.9,274,101040
20220102:0700,26.22,90.25,224.55,610.64,83.9,410.85,1.38,306,101050
20220102:0800,27.31,81.95,418.05,639.94,132,411.05,1.24,286,101120
20220102:0900,28.02,79.4,620.2,731.41,159.25,424,0.9,286,101130
20220102:1000,28.67,76.95,651.7,582.14,204.9,419.2,0.41,265,101120
20220102:1100,29.08,72.15,713.05,629.24,178.5,426.15,0.97,183,101050
20220102:1200,29.47,72.15,741.45,679.66,149.7,427.9,2.21,184,100940
20220102:1300,29.82,69.95,721.3,689.12,149.7,428.45,3.17,188,100870
20220102:1400,29.66,69.95,502.75,505.64,134.25,427.1,3.79,187,100770
20220102:1500,29.25,74.55,358.1,444.96,102.05,423.05,4.28,189,100740
20220102:1600,28.98,76.95,163,260.98,63.85,426.35,4.21,197,100720
20220102:1700,28.53,82.05,20.85,49.83,13.1,420.75,4,201,100770
20220102:1800,28.07,82.05,0,0,0,422.1,3.72,206,100830
20220102:1900,27.63,82.05,0,0,0,414.9,3.72,195,100850
20220102:2000,27.49,84.65,0,0,0,414.15,3.93,201,100940
20220102:2100,27.34,84.65,0,0,0,410.1,4.14,205,100980
20220102:2200,27.26,84.65,0,0,0,412.8,4.14,208,100970
20220102:2300,27.23,84.65,0,0,0,409.1,3.93,212,100950
20220103:0000,27.16,84.65,0,0,0,406.8,3.45,219,100900
20220103:0100,26.98,90.25,0,0,0,405.55,2.69,238,100860
20220103:0200,26.77,90.25,0,0,0,415.9,2.28,263,100840
20220103:0300,26.68,87.4,0,0,0,425.95,2.34,282,100840
20220103:0400,26.27,90.25,0,0,0,423.65,2.34,292,100850
20220103:0500,26.24,90.25,0,0,0,417.65,2.14,291,100890
20220103:0600,26.32,87.35,0,0,0,418,2.14,291,100940
20220103:0700,26.37,87.35,253.8,721.16,88.65,396.35,2.28,308,100980
20220103:0800,27.37,81.95,447.4,701.33,134.6,400.2,2.48,318,101070
20220103:0900,28.29,79.4,559.35,625.74,165.35,409.7,2.41,323,101090
20220103:1000,29.15,69.85,647.5,578.37,203.65,405.65,1.79,328,101080
20220103:1100,30.03,65.5,834.75,793.85,160.05,417.65,0.9,316,101050
20220103:1200,30.6,59.55,791.5,713.87,169.35,414.35,0.69,219,100970
20220103:1300,30.97,59.55,682.1,629.66,159,410.3,2.14,189,100870
20220103:1400,30.94,61.55,554.35,583.9,127.85,414.9,3.52,186,100800
20220103:1500,30.3,65.6,384.25,466.1,115.15,412.8,4.55,187,100780
20220103:1600,29.49,74.55,179.15,246.37,85.05,415.9,5.03,192,100780
20220103:1700,28.62,76.95,25.3,57.76,16.2,408.75,5.03,197,100830
20220103:1800,27.9,79.4,0,0,0,405.05,4.83,202,100870
20220103:1900,27.69,82.05,0,0,0,404.45,3.93,186,100990
20220103:2000,27.44,84.65,0,0,0,402.15,3.86,194,101090
20220103:2100,27.22,84.65,0,0,0,401,3.86,201,101110
20220103:2200,27.1,84.65,0,0,0,408.55,3.93,210,101090
20220103:2300,26.93,87.4,0,0,0,398.1,4.14,217,101050
20220104:0000,26.79,87.4,0,0,0,393.65,3.79,222,101030
20220104:0100,26.57,87.4,0,0,0,390.85,2.76,240,100970
20220104:0200,26.29,90.25,0,0,0,401.75,2.14,284,101000
20220104:0300,26.2,90.25,0,0,0,425.75,3.03,317,101000
20220104:0400,26,93.2,0,0,0,425.55,3.38,328,100980
20220104:0500,25.92,90.2,0,0,0,408.75,3.1,331,100990
20220104:0600,25.9,90.2,0,0,0,403.7,2.62,327,101050
20220104:0700,26.43,87.35,222.95,526.96,102.95,414.55,1.59,351,101070
20220104:0800,27.41,81.95,393.95,550.69,148.85,407,1.52,346,101130
20220104:0900,28.22,74.4,576.8,652.23,166.45,407.55,1.17,355,101200
20220104:1000,29.04,69.75,719.15,671.04,204.2,409.3,0.48,36,101180
20220104:1100,29.69,65.5,777.05,670.94,206.5,413.75,0.9,140,101140
20220104:1200,30.22,63.5,756.7,637.11,200.85,412.4,1.86,165,101050
20220104:1300,30.39,63.5,732.45,689.03,159.1,417.85,2.83,178,100960
20220104:1400,30.27,63.5,559.05,569.51,142.1,413.4,3.38,185,100880
20220104:1500,30.03,67.7,385.95,460.58,119.15,416.65,3.66,191,100850
20220104:1600,29.44,72.15,176.6,256.65,78.05,415.9,3.86,195,100810
20220104:1700,28.84,74.5,26.55,62.66,16.55,411.25,3.93,199,100830
20220104:1800,28.13,79.4,0,0,0,405.65,3.79,203,100890
20220104:1900,27.56,79.4,0,0,0,403.7,2.83,174,101010
20220104:2000,27.36,81.95,0,0,0,399.25,2.83,179,101110
20220104:2100,27.2,81.95,0,0,0,397.7,2.9,182,101160
20220104:2200,27,84.6,0,0,0,394.6,2.97,186,101130
20220104:2300,26.8,84.6,0,0,0,392.3,2.97,193,101100
20220105:0000,26.65,84.6,0,0,0,391.1,3.1,200,101070
20220105:0100,26.52,87.35,0,0,0,392.95,3.31,205,101020
20220105:0200,26.46,87.35,0,0,0,399.05,3.24,206,100980
20220105:0300,26.4,87.35,0,0,0,400.4,2.83,205,100940
20220105:0400,26.11,87.35,0,0,0,395.75,2,207,100930
20220105:0500,26.01,90.2,0,0,0,394.6,0.9,228,100960
20220105:0600,26.41,87.35,0,0,0,403.5,0.69,309,101030
20220105:0700,25.83,87.3,208.5,429.83,111.15,422.65,1.59,10,101120
20220105:0800,26.81,81.9,383.85,465.22,177.2,414.55,1.66,9,101160
20220105:0900,27.69,74.4,573.35,623.19,181.55,417.65,1.45,11,101190
20220105:1000,28.54,72,722.5,653.68,220.85,410.85,0.9,31,101160
20220105:1100,29.41,67.6,703.8,527.15,255.25,411.85,0.9,106,101100
20220105:1200,30.02,63.4,802.65,678.3,210.2,416.3,1.86,141,101010
20220105:1300,30.38,61.45,752.75,710.19,160.8,414.75,2.69,157,100920
20220105:1400,30.42,61.45,605.8,628.95,144.25,413,3.17,165,100830
20220105:1500,30.19,61.45,414.1,514.09,115.3,409.7,3.45,171,100800
20220105:1600,29.66,65.5,195.2,313.56,74.15,408.35,3.79,175,100780
20220105:1700,28.88,69.75,27.25,66.51,16.5,408.15,4,178,100800
20220105:1800,28.08,72,0,0,0,405.05,4,179,100830
20220105:1900,27.61,72,0,0,0,394.6,3.03,181,100890
20220105:2000,27.42,76.8,0,0,0,401.4,2.97,187,100950
20220105:2100,27.28,76.8,0,0,0,401.55,2.97,199,101020
20220105:2200,27.03,79.3,0,0,0,394.2,2.9,216,101000
20220105:2300,26.81,79.3,0,0,0,391.7,2.97,231,100980
20220106:0000,26.61,79.3,0,0,0,387.05,2.97,240,100950
20220106:0100,26.42,81.85,0,0,0,385.6,2.76,243,100890
20220106:0200,26.1,81.85,0,0,0,384.15,2.28,236,100840
20220106:0300,25.2,87.3,0,0,0,383,1.52,222,100820
20220106:0400,26.61,79.3,0,0,0,383.2,0.62,175,100830
20220106:0500,26.47,81.85,0,0,0,385.3,0.76,112,100870
20220106:0600,26.2,81.85,0,0,0,382,0.97,121,100930
